Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num,#country+code,#region+main+code,#region+sub+code,#region+intermediate+code
,Afghanistan,33.0,65.0,2020-02-16,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-02-15,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-02-14,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-02-13,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-02-12,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-02-11,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-02-10,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-02-09,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-02-08,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-02-07,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-02-06,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-02-05,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-02-04,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-02-03,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-02-02,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-02-01,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-01-31,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-01-30,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-01-29,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-01-28,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-01-27,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-01-26,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-01-25,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-01-24,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-01-23,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-01-22,0,AFG,142,34,
,Albania,41.1533,20.1683,2020-05-03,795,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-02,789,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-01,782,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-30,773,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-29,766,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-28,750,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-27,736,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-26,726,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-25,712,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-24,678,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-23,663,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-22,634,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-21,609,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-20,584,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-19,562,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-18,548,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-17,539,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-16,518,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-15,494,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-14,475,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-13,467,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-12,446,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-11,433,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-10,416,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-09,409,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-08,400,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-07,383,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-06,377,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-05,361,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-04,333,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-03,304,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-02,277,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-01,259,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-31,243,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-30,223,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-29,212,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-28,197,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-27,186,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-26,174,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-25,146,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-24,123,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-23,104,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-22,89,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-21,76,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-20,70,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-19,64,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-18,59,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-17,55,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-16,51,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-15,42,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-14,38,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-13,33,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-12,23,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-11,12,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-10,10,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-09,2,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-08,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-07,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-06,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-05,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-04,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-03,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-02,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-01,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-29,0,ALB,150,39,
