Date,unem_rate,industrial_production_index,manufacturers_new_orders,purchase_house_price_index,construction_spending,retail_sales
7/1/99,4.5,89.9085,295583,134.19,68522,236992
8/1/99,4.2,94.2926,333204,134.94,69975,240478
9/1/99,4.1,93.8173,353716,135.02,70034,230665
10/1/99,3.8,94.7947,343647,135.66,68669,233193
11/1/99,3.8,94.1739,331794,135.81,66684,240857
12/1/99,3.7,94.2509,346933,136.07,59082,293013
1/1/00,4.5,93.9922,323474,137.37,53782,213709
2/1/00,4.4,94.7928,337504,137.2,53993,227087
3/1/00,4.3,96.5013,370003,138.79,61295,253717
4/1/00,3.7,95.1565,336901,140.08,64524,239051
5/1/00,3.8,95.5304,344615,141.22,69253,257581
6/1/00,4.1,98.6524,398101,142.63,72715,255066
7/1/00,4.2,93.9269,307154,143.33,71774,244445
8/1/00,4.1,97.5571,345644,143.81,76132,257487
9/1/00,3.8,98.0603,370860,144.4,75153,243624
10/1/00,3.6,97.145,345596,144.93,73550,245167
11/1/00,3.7,96.0615,339253,145.39,69677,252145
12/1/00,3.7,95.6218,342367,145.8,60910,294197
1/1/01,4.7,94.3738,312664,146.47,56855,226791
2/1/01,4.6,94.5461,325143,147.4,55529,223971
3/1/01,4.5,95.469,356885,148.78,62808,253439
4/1/01,4.2,92.2402,315057,150,67787,249062
5/1/01,4.1,93.0288,336114,151.21,72920,268658
6/1/01,4.7,95.2816,340589,152.47,78004,260315
7/1/01,4.7,90.7552,288080,153.33,78281,251504
8/1/01,4.9,94.3073,328478,153.93,79916,266460
9/1/01,4.7,93.5045,320727,154.5,76605,236210
10/1/01,5,92.3731,328245,155.06,76302,265188
11/1/01,5.3,90.7925,305656,155.03,71543,262004
12/1/01,5.4,90.366,311217,155.59,63697,298666
1/1/02,6.3,90.7818,289997,156.15,59516,230546
2/1/02,6.1,91.4904,306057,157.02,58588,228084
3/1/02,6.1,93.037,333237,158.59,63782,257133
4/1/02,5.7,92.0908,317142,159.91,69504,257357
5/1/02,5.5,92.6034,329014,161.63,73384,271682
6/1/02,6,96.4257,326347,163.17,77182,260385
7/1/02,5.9,91.6492,296043,164.24,78863,266795
8/1/02,5.7,95.8827,331646,165.16,79460,277716
9/1/02,5.4,95.782,330746,165.94,76542,246350
10/1/02,5.3,94.5346,332414,166.65,75710,259945
11/1/02,5.6,93.5441,314870,167.06,71362,263738
12/1/02,5.7,92.7108,315632,167.72,63984,308821
1/1/03,6.5,93.2425,305612,168.28,59877,242271
2/1/03,6.4,94.4322,316969,169.37,58526,233478
3/1/03,6.2,95.1545,349765,170.62,64506,264532
4/1/03,5.8,92.4939,319674,172.16,69638,265990
5/1/03,5.8,93.115,327867,173.84,74473,281482
6/1/03,6.5,96.023,342944,175.23,80377,271242
7/1/03,6.3,91.7747,305215,176.57,82971,279323
8/1/03,6,96.1462,331634,177.72,85191,285212
9/1/03,5.8,96.4425,349740,178.87,83841,265331
10/1/03,5.6,95.5134,355752,179.44,83133,273781
11/1/03,5.6,95.1697,327177,180.2,77915,272396
12/1/03,5.4,94.6425,343463,181.1,71050,327693
1/1/04,6.3,94.4102,315468,181.75,64934,252818
