price,manufacturer,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
6990,vauxhall, Astra,2016,Manual,21000,Petrol,125,52.3,1.4
5490,hyundi, IX35,2011,Manual,75617,Diesel,145,48.7,1.7
28999,vw, Golf,2019,Automatic,3972,Petrol,150,32.8,2.0
5355,vauxhall, Adam,2014,Manual,51866,Petrol,125,53.3,1.2
25490,bmw, 1 Series,2019,Semi-Auto,5379,Petrol,145,39.8,3.0
30000,merc, E Class,2019,Semi-Auto,12638,Diesel,150,58.9,2.0
11861,bmw, 1 Series,2017,Manual,23268,Diesel,0,78.5,1.5
18990,bmw, 1 Series,2019,Semi-Auto,4539,Diesel,145,70.6,2.0
10494,vauxhall, Corsa,2019,Manual,10,Petrol,145,43.5,1.4
11290,toyota, Auris,2017,Automatic,11740,Petrol,20,61.4,1.2
33000,audi, TT,2020,Automatic,2500,Petrol,150,34.9,2.0
17495,ford, Focus,2017,Manual,25739,Petrol,145,41.5,2.0
10600,ford, Fiesta,2018,Manual,23060,Petrol,145,56.5,1.0
6500,bmw, 5 Series,2010,Automatic,129000,Diesel,205,46.3,3.0
9440,toyota, Yaris,2017,Manual,28502,Petrol,145,58.9,1.5
11495,toyota, Yaris,2018,Manual,7500,Petrol,145,47.1,1.5
10500,vw, CC,2014,Manual,50400,Diesel,30,60.1,2.0
10888,toyota, Auris,2015,Automatic,38441,Hybrid,0,76.4,1.8
17495,skoda, Superb,2017,Manual,18040,Diesel,145,68.9,2.0
22479,vw, T-Roc,2019,Manual,3748,Diesel,145,50.4,1.6
13491,audi, A4,2015,Manual,54644,Diesel,30,61.4,2.0
28995,vw, Golf,2019,Semi-Auto,6400,Petrol,145,32.8,2.0
13699,vauxhall, Mokka X,2019,Manual,10892,Petrol,145,39.2,1.4
56990,audi, Q8,2018,Semi-Auto,18782,Diesel,145,32.8,3.0
14000,bmw, 5 Series,2015,Semi-Auto,52281,Diesel,30,62.8,2.0
8250,vw, Polo,2015,Manual,47936,Petrol,20,60.1,1.2
19990,vw, Golf,2019,Semi-Auto,5885,Diesel,150,52.3,2.0
10495,bmw, 5 Series,2013,Semi-Auto,83380,Diesel,125,57.6,2.0
12498,ford, Focus,2017,Manual,25941,Diesel,145,74.3,1.5
6499,vauxhall, Mokka,2015,Manual,67182,Diesel,30,65.7,1.6
34485,audi, Q3,2019,Automatic,10,Diesel,145,47.1,2.0
17600,bmw, 4 Series,2016,Automatic,20444,Diesel,30,65.7,2.0
12450,vw, Golf,2017,Manual,18000,Petrol,150,54.3,1.4
18681,ford, Focus,2018,Manual,17515,Petrol,145,41.5,2.0
16480,vw, Polo,2020,Manual,10,Petrol,145,52.3,1.0
10775,vw, CC,2015,Semi-Auto,56508,Diesel,145,54.3,2.0
35980,merc, GLC Class,2020,Semi-Auto,3999,Diesel,145,44.8,2.0
