price,manufacturer,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
11990,merc, E Class,2014,Automatic,68835,Diesel,125,58.9,2.1
18495,audi, A5,2016,Manual,25000,Diesel,125,57.6,2.0
3995,bmw, Z3,1999,Manual,51949,Petrol,255,35.3,1.9
15000,audi, Q3,2016,Manual,22279,Diesel,30,61.4,2.0
25749,merc, C Class,2019,Semi-Auto,13873,Diesel,145,61.4,2.0
37900,merc, GLC Class,2018,Semi-Auto,17609,Petrol,145,34.0,3.0
19450,merc, SLK,2018,Automatic,25782,Diesel,30,70.6,2.1
10780,bmw, 5 Series,2013,Semi-Auto,84842,Diesel,145,55.4,2.0
49850,audi, Q7,2018,Semi-Auto,25800,Diesel,145,39.2,4.0
12350,bmw, 1 Series,2016,Manual,47324,Diesel,30,65.7,2.0
39649,merc, GLS Class,2017,Semi-Auto,16650,Diesel,300,37.2,3.0
16500,merc, GLA Class,2017,Manual,44708,Diesel,150,67.3,2.1
35362,bmw, X3,2019,Semi-Auto,4186,Diesel,145,54.3,2.0
29267,merc, S Class,2016,Automatic,9521,Diesel,165,50.4,3.0
35995,bmw, 3 Series,2020,Semi-Auto,1501,Diesel,145,47.9,3.0
26578,merc, S Class,2015,Automatic,33462,Diesel,205,48.7,3.0
34995,merc, GLC Class,2019,Automatic,9794,Diesel,145,40.9,2.0
18485,merc, GLA Class,2016,Semi-Auto,27931,Diesel,125,56.5,2.1
31232,bmw, 5 Series,2019,Semi-Auto,8691,Hybrid,150,60.1,2.0
11800,audi, A4,2013,Manual,50037,Diesel,125,57.6,2.0
20998,merc, SL CLASS,2017,Semi-Auto,13526,Petrol,145,47.9,2.0
15990,merc, GLA Class,2014,Automatic,59000,Diesel,145,55.4,2.1
24500,audi, A4,2019,Manual,5000,Petrol,145,40.4,2.0
24970,audi, A5,2019,Automatic,5415,Petrol,145,40.4,2.0
19998,audi, Q3,2017,Manual,12891,Petrol,145,49.6,1.4
34500,audi, Q5,2020,Automatic,5362,Diesel,145,38.2,2.0
24440,bmw, 3 Series,2019,Semi-Auto,12,Diesel,145,60.1,2.0
26890,merc, E Class,2019,Semi-Auto,6416,Diesel,145,61.4,2.0
17995,audi, Q3,2015,Manual,38244,Petrol,145,49.6,1.4
15250,audi, A4,2017,Manual,27578,Petrol,145,51.4,1.4
13990,audi, A5,2015,Manual,55000,Diesel,145,53.3,2.0
7395,bmw, 2 Series,2015,Manual,100230,Diesel,20,68.9,2.0
15880,merc, E Class,2015,Automatic,34821,Diesel,125,61.4,2.1
15498,audi, A4,2016,Manual,42783,Diesel,30,64.2,2.0
18990,bmw, X1,2017,Semi-Auto,34697,Diesel,145,55.4,2.0
27399,bmw, 5 Series,2017,Semi-Auto,23607,Diesel,145,51.4,3.0
14799,audi, A4,2016,Manual,39989,Diesel,0,74.3,2.0
22649,merc, C Class,2017,Semi-Auto,42165,Diesel,30,65.7,2.1
9999,bmw, 3 Series,2012,Automatic,52000,Diesel,160,50.4,2.0
22199,bmw, 5 Series,2017,Automatic,21319,Diesel,145,62.8,2.0
21900,audi, Q2,2019,Manual,1000,Diesel,145,49.6,1.6
22000,merc, GLA Class,2017,Semi-Auto,16102,Diesel,145,56.5,2.1
22470,bmw, 4 Series,2018,Semi-Auto,1998,Diesel,145,60.1,2.0
15990,merc, A Class,2017,Manual,22231,Petrol,145,49.6,1.6
16000,audi, A3,2017,Manual,11032,Petrol,150,55.4,1.5
22450,bmw, 2 Series,2019,Automatic,11275,Hybrid,135,148.7,1.5
18499,bmw, 4 Series,2016,Automatic,60018,Diesel,160,49.6,3.0
16890,merc, SL CLASS,2016,Semi-Auto,52122,Diesel,30,70.6,2.1
20599,merc, A Class,2018,Semi-Auto,9956,Petrol,145,53.3,1.3
20998,merc, E Class,2017,Semi-Auto,21929,Diesel,30,65.7,2.0
21571,audi, Q5,2016,Semi-Auto,44929,Diesel,200,47.1,2.0
14250,audi, A3,2017,Automatic,28831,Diesel,145,70.6,1.6
29489,merc, GL Class,2014,Semi-Auto,44921,Diesel,325,35.3,3.0
15990,bmw, 5 Series,2015,Semi-Auto,29952,Diesel,30,62.8,2.0
30000,bmw, 5 Series,2017,Semi-Auto,11086,Diesel,145,53.3,3.0
13300,merc, E Class,2013,Automatic,42742,Diesel,125,57.7,2.1
27000,merc, GLE Class,2017,Semi-Auto,29054,Diesel,200,47.9,2.1
17990,audi, Q3,2016,Manual,21421,Petrol,145,49.6,1.4
22452,merc, CL Class,2017,Automatic,24543,Diesel,145,67.3,2.1
4995,merc, SLK,2006,Automatic,75000,Petrol,555,28.0,3.5
43199,merc, E Class,2019,Semi-Auto,5686,Diesel,145,38.2,3.0
15075,audi, A5,2016,Semi-Auto,42357,Diesel,125,58.9,2.0
19995,bmw, 3 Series,2017,Semi-Auto,9981,Diesel,150,62.8,2.0
19385,bmw, 2 Series,2019,Automatic,8599,Petrol,145,40.9,1.5
44099,merc, GLC Class,2019,Semi-Auto,7500,Diesel,145,40.4,2.0
17992,merc, C Class,2016,Semi-Auto,14160,Diesel,20,64.2,2.1
29500,bmw, 2 Series,2020,Semi-Auto,10,Petrol,145,39.8,3.0
11991,bmw, 2 Series,2015,Manual,52656,Diesel,30,62.8,2.0
21499,bmw, 2 Series,2016,Automatic,17173,Petrol,200,39.8,3.0
20299,merc, C Class,2019,Semi-Auto,14298,Petrol,145,46.3,1.5
20800,bmw, 3 Series,2018,Automatic,23217,Diesel,145,64.2,2.0
14990,audi, A1,2017,Semi-Auto,15660,Petrol,145,56.5,1.4
16995,audi, TT,2016,Manual,11000,Petrol,145,47.1,1.8
12490,bmw, 3 Series,2017,Manual,26000,Petrol,125,52.3,1.5
12440,bmw, 2 Series,2017,Manual,32218,Diesel,145,65.7,1.5
15499,merc, E Class,2015,Semi-Auto,74500,Diesel,145,54.3,3.0
17750,audi, TT,2016,Semi-Auto,38812,Petrol,160,43.5,2.0
16891,bmw, 3 Series,2017,Manual,17907,Petrol,150,43.5,2.0
15499,merc, A Class,2017,Manual,20645,Diesel,145,68.9,1.5
15990,merc, A Class,2016,Manual,19715,Diesel,30,62.8,2.1
24448,audi, Q2,2019,Manual,3371,Petrol,145,43.5,1.5
13298,bmw, 3 Series,2016,Semi-Auto,46392,Diesel,0,74.3,2.0
12700,bmw, 1 Series,2016,Manual,14634,Petrol,125,53.3,1.5
42650,bmw, 5 Series,2019,Semi-Auto,101,Petrol,145,50.4,2.0
30498,merc, GLE Class,2017,Semi-Auto,22539,Diesel,145,47.9,2.1
11300,audi, A1,2016,Manual,24426,Diesel,0,76.3,1.6
24249,merc, GLA Class,2019,Semi-Auto,6728,Petrol,145,36.2,1.6
